gender,age,attendance,study_hours,sleep_hours,social_media_hours,physical_activity,mental_health,internet_quality,motivation_level,parental_education,family_income,part_time_job,previous_scores,exam_score
Male,20.0,77.0,21.0,7.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,90.0,68.0
Female,20.0,81.0,18.0,8.0,2.5,3,5.0,Good,Medium,High School,Medium,No,71.0,65.0
Male,20.0,72.0,21.0,5.0,2.5,5,5.0,Good,Medium,College,High,No,57.0,64.0
Male,20.0,61.0,8.0,7.0,2.5,3,5.0,Good,Medium,College,High,No,54.0,60.0
Male,20.0,69.0,19.0,7.0,2.5,2,5.0,Good,High,High School,Low,No,82.0,65.0
Male,20.0,71.0,22.0,6.0,2.5,3,5.0,Good,High,High School,Low,No,79.0,66.0
Male,20.0,78.0,29.0,4.0,2.5,3,5.0,Good,Low,College,Medium,No,93.0,74.0
Female,20.0,67.0,17.0,5.0,2.5,3,5.0,Good,High,High School,Medium,No,52.0,62.0
Male,20.0,95.0,15.0,7.0,2.5,4,5.0,Good,Medium,College,Low,No,93.0,70.0
Male,20.0,88.0,17.0,7.0,2.5,3,5.0,Good,Low,High School,Medium,No,94.0,69.0
Male,20.0,63.0,25.0,7.0,2.5,4,5.0,Good,Medium,College,Medium,No,72.0,67.0
Male,20.0,86.0,22.0,6.0,2.5,0,5.0,Good,Medium,High School,Medium,No,54.0,64.0
Male,20.0,86.0,17.0,5.0,2.5,3,5.0,Good,High,College,High,No,97.0,71.0
Female,20.0,98.0,23.0,7.0,2.5,3,5.0,Good,Low,College,Medium,No,54.0,68.0
Male,20.0,60.0,21.0,7.0,2.5,4,5.0,Good,Medium,College,Medium,No,80.0,64.0
Female,20.0,70.0,26.0,8.0,2.5,4,5.0,Good,Medium,High School,Medium,No,75.0,63.0
Male,20.0,97.0,16.0,6.0,2.5,4,5.0,Good,Low,College,High,No,92.0,71.0
Male,20.0,97.0,18.0,4.0,2.5,3,5.0,Good,Low,High School,Low,No,75.0,69.0
Female,20.0,89.0,18.0,4.0,2.5,2,5.0,Good,Medium,College,High,No,73.0,100.0
Male,20.0,91.0,11.0,6.0,2.5,3,5.0,Good,Medium,College,Medium,No,94.0,68.0
Male,20.0,64.0,22.0,7.0,2.5,3,5.0,Good,Low,High School,Medium,No,98.0,62.0
Female,20.0,81.0,22.0,7.0,2.5,3,5.0,Good,Low,Postgraduate,Medium,No,77.0,68.0
Male,20.0,69.0,20.0,6.0,2.5,3,5.0,Good,Medium,High School,Low,No,73.0,66.0
Male,20.0,67.0,19.0,5.0,2.5,3,5.0,Good,High,College,Medium,No,92.0,64.0
Male,20.0,92.0,12.0,4.0,2.5,3,5.0,Good,High,High School,Medium,No,92.0,67.0
Female,20.0,65.0,17.0,8.0,2.5,4,5.0,Good,Medium,Postgraduate,High,No,66.0,65.0
Male,20.0,79.0,18.0,7.0,2.5,3,5.0,Good,Medium,College,Low,No,79.0,65.0
Male,20.0,98.0,15.0,6.0,2.5,3,5.0,Good,High,College,Low,No,58.0,69.0
Male,20.0,67.0,19.0,5.0,2.5,3,5.0,Good,High,High School,Low,No,82.0,63.0
Male,20.0,99.0,22.0,6.0,2.5,4,5.0,Good,Low,Postgraduate,Medium,No,92.0,72.0
Male,20.0,100.0,31.0,7.0,2.5,5,5.0,Good,Medium,Postgraduate,High,No,59.0,76.0
Female,20.0,82.0,21.0,7.0,2.5,3,5.0,Good,High,College,Low,No,66.0,69.0
Female,20.0,67.0,22.0,7.0,2.5,2,5.0,Good,High,Postgraduate,Low,No,72.0,67.0
Male,20.0,73.0,20.0,9.0,2.5,3,5.0,Good,Medium,College,Medium,No,92.0,69.0
Male,20.0,77.0,8.0,6.0,2.5,2,5.0,Good,Medium,High School,Low,No,87.0,63.0
Male,20.0,72.0,20.0,9.0,2.5,3,5.0,Good,Medium,Postgraduate,Low,No,66.0,67.0
Male,20.0,71.0,20.0,7.0,2.5,5,5.0,Good,High,College,Medium,No,62.0,66.0
Female,20.0,99.0,35.0,7.0,2.5,2,5.0,Good,Low,Postgraduate,Medium,No,85.0,79.0
Female,20.0,66.0,19.0,8.0,2.5,3,5.0,Good,Medium,High School,High,No,74.0,64.0
Female,20.0,89.0,22.0,6.0,2.5,3,5.0,Good,Medium,High School,High,No,80.0,73.0
Male,20.0,60.0,20.0,7.0,2.5,4,5.0,Good,High,High School,Low,No,82.0,63.0
Male,20.0,84.0,13.0,5.0,2.5,2,5.0,Good,Medium,High School,Low,No,78.0,65.0
Female,20.0,97.0,27.0,8.0,2.5,5,5.0,Good,Medium,High School,High,No,81.0,73.0
Female,20.0,72.0,25.0,8.0,2.5,4,5.0,Good,Low,College,Low,No,94.0,70.0
Female,20.0,67.0,25.0,9.0,2.5,3,5.0,Good,High,High School,Low,No,93.0,68.0
Male,20.0,86.0,15.0,7.0,2.5,3,5.0,Good,Medium,College,Medium,No,57.0,65.0
Female,20.0,89.0,28.0,9.0,2.5,1,5.0,Good,High,College,Low,No,79.0,71.0
Male,20.0,88.0,12.0,6.0,2.5,2,5.0,Good,Low,College,Medium,No,72.0,64.0
Male,20.0,73.0,24.0,8.0,2.5,3,5.0,Good,Medium,College,High,No,64.0,68.0
Male,20.0,70.0,33.0,6.0,2.5,4,5.0,Good,Low,College,Low,No,82.0,69.0
Female,20.0,98.0,14.0,7.0,2.5,4,5.0,Good,Medium,College,Medium,No,76.0,69.0
Male,20.0,97.0,17.0,8.0,2.5,4,5.0,Good,Medium,High School,Low,No,89.0,69.0
Male,20.0,78.0,21.0,10.0,2.5,2,5.0,Good,Medium,College,High,No,55.0,67.0
Female,20.0,94.0,17.0,8.0,2.5,6,5.0,Good,Low,High School,Medium,No,65.0,68.0
Male,20.0,78.0,11.0,8.0,2.5,3,5.0,Good,Medium,Postgraduate,Low,No,51.0,64.0
Female,20.0,77.0,20.0,6.0,2.5,4,5.0,Good,Low,High School,Low,No,87.0,66.0
Male,20.0,66.0,14.0,7.0,2.5,3,5.0,Good,Medium,High School,Low,No,96.0,63.0
Male,20.0,77.0,23.0,7.0,2.5,2,5.0,Good,Medium,High School,Low,No,79.0,66.0
Female,20.0,81.0,14.0,9.0,2.5,3,5.0,Good,Medium,Postgraduate,Low,No,81.0,66.0
Female,20.0,61.0,29.0,7.0,2.5,3,5.0,Good,Low,College,Low,No,52.0,67.0
Male,20.0,78.0,15.0,9.0,2.5,1,5.0,Good,Low,High School,Low,No,75.0,65.0
Female,20.0,91.0,18.0,5.0,2.5,3,5.0,Good,Medium,High School,Medium,No,76.0,68.0
Male,20.0,87.0,25.0,9.0,2.5,2,5.0,Good,High,High School,Low,No,52.0,68.0
Male,20.0,85.0,13.0,6.0,2.5,1,5.0,Good,Medium,High School,High,No,89.0,65.0
Male,20.0,96.0,21.0,8.0,2.5,0,5.0,Good,High,College,Medium,No,64.0,71.0
Male,20.0,61.0,28.0,6.0,2.5,3,5.0,Good,High,Postgraduate,Low,No,86.0,65.0
Female,20.0,82.0,10.0,8.0,2.5,1,5.0,Good,Medium,Postgraduate,Low,No,70.0,64.0
Female,20.0,91.0,21.0,6.0,2.5,2,5.0,Good,Medium,Postgraduate,High,No,100.0,72.0
Female,20.0,82.0,22.0,9.0,2.5,2,5.0,Good,Medium,High School,Low,No,61.0,65.0
Female,20.0,73.0,25.0,8.0,2.5,5,5.0,Good,High,Postgraduate,Low,No,53.0,66.0
Male,20.0,65.0,13.0,6.0,2.5,4,5.0,Good,Medium,High School,Low,No,99.0,61.0
Female,20.0,96.0,12.0,8.0,2.5,3,5.0,Good,Medium,College,Medium,No,62.0,68.0
Female,20.0,79.0,23.0,8.0,2.5,3,5.0,Good,Low,Postgraduate,Medium,No,82.0,69.0
Female,20.0,95.0,22.0,6.0,2.5,3,5.0,Good,Medium,College,Low,No,69.0,72.0
Female,20.0,83.0,22.0,5.0,2.5,3,5.0,Good,Medium,Postgraduate,Low,No,82.0,71.0
Female,20.0,87.0,22.0,5.0,2.5,3,5.0,Good,Low,High School,Low,No,80.0,70.0
Male,20.0,92.0,16.0,5.0,2.5,2,5.0,Good,Low,High School,Low,No,85.0,68.0
Female,20.0,86.0,21.0,5.0,2.5,2,5.0,Good,Medium,High School,Low,No,51.0,67.0
Female,20.0,76.0,22.0,8.0,2.5,4,5.0,Good,Medium,High School,Low,No,92.0,68.0
Female,20.0,81.0,16.0,8.0,2.5,2,5.0,Good,Medium,Postgraduate,Medium,No,74.0,68.0
Male,20.0,92.0,31.0,4.0,2.5,4,5.0,Good,Medium,High School,Medium,No,76.0,72.0
Male,20.0,75.0,23.0,6.0,2.5,2,5.0,Good,Low,College,Medium,No,71.0,65.0
Female,20.0,76.0,13.0,5.0,2.5,4,5.0,Good,Low,High School,Medium,No,99.0,66.0
Male,20.0,64.0,24.0,8.0,2.5,3,5.0,Good,High,High School,Low,No,90.0,65.0
Female,20.0,97.0,14.0,6.0,2.5,3,5.0,Good,Medium,College,Medium,No,66.0,67.0
Male,20.0,64.0,25.0,5.0,2.5,4,5.0,Good,Low,College,Medium,No,89.0,66.0
Male,20.0,86.0,27.0,7.0,2.5,4,5.0,Good,Low,High School,Medium,No,72.0,69.0
Male,20.0,77.0,15.0,8.0,2.5,3,5.0,Good,Low,College,High,No,94.0,66.0
Male,20.0,76.0,26.0,6.0,2.5,3,5.0,Good,Medium,High School,High,No,52.0,69.0
Male,20.0,87.0,22.0,7.0,2.5,2,5.0,Good,Medium,High School,Low,No,68.0,67.0
Male,20.0,63.0,25.0,6.0,2.5,3,5.0,Good,Medium,High School,Medium,No,71.0,66.0
Male,20.0,84.0,31.0,9.0,2.5,3,5.0,Good,Medium,College,Low,No,87.0,71.0
Male,20.0,91.0,19.0,6.0,2.5,4,5.0,Good,Medium,College,Medium,No,59.0,70.0
Male,20.0,93.0,15.0,6.0,2.5,4,5.0,Good,Medium,Postgraduate,Medium,No,64.0,71.0
Male,20.0,67.0,15.0,7.0,2.5,3,5.0,Good,High,Postgraduate,High,No,86.0,66.0
Male,20.0,96.0,15.0,7.0,2.5,2,5.0,Good,High,High School,Medium,No,54.0,67.0
Female,20.0,86.0,20.0,8.0,2.5,4,5.0,Good,Medium,College,Medium,No,60.0,66.0
Male,20.0,95.0,22.0,9.0,2.5,2,5.0,Good,Low,Postgraduate,Low,No,88.0,72.0
Male,20.0,79.0,22.0,9.0,2.5,3,5.0,Good,Medium,High School,Medium,No,94.0,68.0
Female,20.0,82.0,25.0,6.0,2.5,3,5.0,Good,Medium,High School,Low,No,86.0,69.0
Male,20.0,97.0,20.0,7.0,2.5,3,5.0,Good,Low,Postgraduate,Low,No,76.0,71.0
Female,20.0,96.0,29.0,9.0,2.5,2,5.0,Good,Low,Postgraduate,Medium,No,55.0,70.0
Female,20.0,78.0,18.0,9.0,2.5,4,5.0,Good,High,College,High,No,91.0,67.0
Male,20.0,71.0,36.0,6.0,2.5,2,5.0,Good,Medium,High School,High,No,56.0,69.0
Male,20.0,76.0,24.0,8.0,2.5,1,5.0,Good,Low,High School,Medium,No,69.0,65.0
Male,20.0,76.0,15.0,8.0,2.5,4,5.0,Good,Medium,College,Low,No,53.0,65.0
Male,20.0,71.0,14.0,8.0,2.5,4,5.0,Good,Low,High School,Medium,No,85.0,64.0
Male,20.0,71.0,23.0,9.0,2.5,2,5.0,Good,Low,College,Low,No,75.0,63.0
Male,20.0,94.0,19.0,5.0,2.5,2,5.0,Good,Medium,High School,Low,No,95.0,69.0
Female,20.0,63.0,24.0,6.0,2.5,5,5.0,Good,Medium,College,Low,No,57.0,64.0
Male,20.0,87.0,23.0,8.0,2.5,3,5.0,Good,High,High School,High,No,91.0,72.0
Male,20.0,67.0,20.0,7.0,2.5,4,5.0,Good,Medium,High School,Medium,No,76.0,63.0
Female,20.0,74.0,15.0,4.0,2.5,3,5.0,Good,Low,High School,Low,No,68.0,64.0
Male,20.0,62.0,11.0,5.0,2.5,4,5.0,Good,Medium,College,High,No,82.0,64.0
Male,20.0,71.0,17.0,8.0,2.5,1,5.0,Good,Medium,Postgraduate,Medium,No,90.0,67.0
Male,20.0,91.0,25.0,8.0,2.5,0,5.0,Good,Low,Postgraduate,Medium,No,72.0,71.0
Male,20.0,95.0,21.0,5.0,2.5,4,5.0,Good,High,High School,Medium,No,62.0,70.0
Female,20.0,69.0,13.0,9.0,2.5,4,5.0,Good,Low,High School,High,No,96.0,61.0
Male,20.0,79.0,21.0,7.0,2.5,4,5.0,Good,Low,College,Low,No,66.0,67.0
Male,20.0,79.0,22.0,5.0,2.5,3,5.0,Good,Medium,College,High,No,100.0,72.0
Male,20.0,95.0,15.0,6.0,2.5,5,5.0,Good,Low,High School,Low,No,88.0,66.0
Male,20.0,91.0,21.0,5.0,2.5,2,5.0,Good,Medium,High School,High,No,84.0,70.0
Male,20.0,81.0,20.0,6.0,2.5,4,5.0,Good,High,High School,Medium,No,51.0,67.0
Female,20.0,87.0,13.0,4.0,2.5,3,5.0,Good,Medium,High School,Medium,No,72.0,67.0
Female,20.0,94.0,22.0,7.0,2.5,2,5.0,Good,High,College,High,No,75.0,71.0
Male,20.0,60.0,23.0,8.0,2.5,4,5.0,Good,Medium,College,Low,No,69.0,66.0
Male,20.0,76.0,26.0,5.0,2.5,4,5.0,Good,Medium,High School,Medium,No,57.0,68.0
Female,20.0,96.0,26.0,7.0,2.5,3,5.0,Good,Medium,College,High,No,68.0,74.0
Male,20.0,90.0,12.0,6.0,2.5,3,5.0,Good,Medium,High School,High,No,54.0,64.0
Male,20.0,82.0,14.0,8.0,2.5,3,5.0,Good,Medium,College,Low,No,65.0,65.0
Male,20.0,81.0,23.0,4.0,2.5,3,5.0,Good,Medium,College,Low,No,54.0,66.0
Male,20.0,74.0,23.0,8.0,2.5,3,5.0,Good,Low,High School,Medium,No,88.0,66.0
Male,20.0,81.0,23.0,4.0,2.5,5,5.0,Good,Medium,High School,Medium,No,84.0,68.0
Female,20.0,86.0,43.0,7.0,2.5,1,5.0,Good,Medium,High School,Medium,No,97.0,78.0
Female,20.0,77.0,23.0,6.0,2.5,2,5.0,Good,Low,High School,Medium,No,69.0,67.0
Male,20.0,89.0,27.0,6.0,2.5,3,5.0,Good,Medium,High School,Medium,No,89.0,74.0
Male,20.0,94.0,26.0,5.0,2.5,2,5.0,Good,High,Postgraduate,Low,No,79.0,74.0
Female,20.0,66.0,24.0,9.0,2.5,2,5.0,Good,Low,High School,Medium,No,82.0,62.0
Male,20.0,78.0,18.0,5.0,2.5,4,5.0,Good,Medium,High School,Medium,No,77.0,66.0
Female,20.0,76.0,25.0,5.0,2.5,3,5.0,Good,High,High School,Medium,No,89.0,69.0
Male,20.0,87.0,15.0,10.0,2.5,3,5.0,Good,Medium,College,Low,No,52.0,68.0
Male,20.0,70.0,19.0,7.0,2.5,2,5.0,Good,High,High School,Medium,No,54.0,89.0
Male,20.0,86.0,17.0,5.0,2.5,4,5.0,Good,Low,College,High,No,55.0,66.0
Female,20.0,95.0,20.0,7.0,2.5,3,5.0,Good,Low,High School,Medium,No,64.0,68.0
Male,20.0,77.0,34.0,7.0,2.5,3,5.0,Good,Low,High School,Medium,No,80.0,69.0
Male,20.0,96.0,9.0,4.0,2.5,4,5.0,Good,High,College,Low,No,82.0,67.0
Male,20.0,100.0,24.0,6.0,2.5,5,5.0,Good,Low,High School,Medium,No,86.0,75.0
Female,20.0,64.0,10.0,7.0,2.5,4,5.0,Good,High,High School,Medium,No,64.0,60.0
Female,20.0,69.0,17.0,9.0,2.5,4,5.0,Good,Medium,College,Medium,No,83.0,66.0
Female,20.0,98.0,27.0,7.0,2.5,3,5.0,Good,Low,College,High,No,56.0,73.0
Female,20.0,98.0,20.0,7.0,2.5,2,5.0,Good,Low,High School,Medium,No,50.0,68.0
Male,20.0,64.0,14.0,6.0,2.5,3,5.0,Good,Medium,High School,Medium,No,85.0,62.0
Male,20.0,61.0,16.0,9.0,2.5,2,5.0,Good,Low,High School,Low,No,86.0,62.0
Male,20.0,66.0,24.0,8.0,2.5,4,5.0,Good,High,High School,Medium,No,81.0,65.0
Male,20.0,100.0,16.0,8.0,2.5,3,5.0,Good,High,High School,Low,No,63.0,69.0
Female,20.0,67.0,21.0,7.0,2.5,2,5.0,Good,Low,High School,Low,No,96.0,64.0
Female,20.0,80.0,20.0,5.0,2.5,4,5.0,Good,Medium,Postgraduate,Low,No,94.0,67.0
Male,20.0,94.0,16.0,9.0,2.5,2,5.0,Good,Medium,High School,Low,No,76.0,70.0
Female,20.0,61.0,33.0,7.0,2.5,3,5.0,Good,High,College,Medium,No,99.0,70.0
Female,20.0,84.0,24.0,7.0,2.5,3,5.0,Good,Low,High School,Medium,No,65.0,69.0
Male,20.0,71.0,8.0,8.0,2.5,3,5.0,Good,Medium,High School,Medium,No,75.0,61.0
Male,20.0,94.0,21.0,7.0,2.5,2,5.0,Good,Low,Postgraduate,Medium,No,96.0,69.0
Male,20.0,71.0,16.0,5.0,2.5,0,5.0,Good,Medium,High School,Medium,No,73.0,63.0
Male,20.0,87.0,25.0,7.0,2.5,4,5.0,Good,Low,High School,Medium,No,74.0,67.0
Male,20.0,87.0,15.0,4.0,2.5,6,5.0,Good,Medium,High School,Medium,No,54.0,65.0
Male,20.0,69.0,19.0,7.0,2.5,4,5.0,Good,High,High School,High,No,61.0,66.0
Male,20.0,61.0,23.0,9.0,2.5,2,5.0,Good,Medium,High School,Medium,No,58.0,63.0
Female,20.0,76.0,25.0,4.0,2.5,3,5.0,Good,Medium,High School,Medium,No,78.0,68.0
Male,20.0,72.0,13.0,7.0,2.5,4,5.0,Good,Medium,Postgraduate,Low,No,66.0,65.0
Male,20.0,92.0,18.0,8.0,2.5,3,5.0,Good,Medium,High School,Medium,No,54.0,67.0
Female,20.0,92.0,17.0,8.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,75.0,68.0
Male,20.0,78.0,16.0,6.0,2.5,3,5.0,Good,Medium,College,Low,No,83.0,64.0
Male,20.0,84.0,31.0,5.0,2.5,3,5.0,Good,High,College,Medium,No,87.0,71.0
Female,20.0,84.0,22.0,6.0,2.5,5,5.0,Good,Low,High School,Medium,No,92.0,69.0
Male,20.0,93.0,12.0,9.0,2.5,3,5.0,Good,Low,Postgraduate,Medium,No,74.0,67.0
Female,20.0,77.0,26.0,4.0,2.5,3,5.0,Good,Low,College,High,No,70.0,65.0
Male,20.0,71.0,33.0,5.0,2.5,2,5.0,Good,Medium,High School,Medium,No,84.0,68.0
Male,20.0,71.0,26.0,6.0,2.5,3,5.0,Good,Low,Postgraduate,High,No,51.0,67.0
Male,20.0,81.0,11.0,6.0,2.5,4,5.0,Good,High,High School,Medium,No,82.0,67.0
Male,20.0,78.0,17.0,7.0,2.5,3,5.0,Good,Medium,High School,Low,No,70.0,66.0
Female,20.0,78.0,28.0,9.0,2.5,4,5.0,Good,High,College,Medium,No,73.0,70.0
Female,20.0,64.0,16.0,5.0,2.5,4,5.0,Good,Medium,Postgraduate,Medium,No,65.0,65.0
Female,20.0,89.0,23.0,7.0,2.5,4,5.0,Good,Low,Postgraduate,Medium,No,56.0,69.0
Female,20.0,69.0,25.0,7.0,2.5,4,5.0,Good,Low,High School,High,No,70.0,65.0
Male,20.0,68.0,14.0,6.0,2.5,3,5.0,Good,Medium,College,High,No,65.0,63.0
Female,20.0,77.0,20.0,5.0,2.5,2,5.0,Good,Low,Postgraduate,Low,No,98.0,67.0
Female,20.0,69.0,1.0,6.0,2.5,3,5.0,Good,Medium,High School,Low,No,97.0,61.0
Female,20.0,83.0,14.0,6.0,2.5,2,5.0,Good,Medium,High School,Medium,No,82.0,65.0
Female,20.0,75.0,18.0,8.0,2.5,2,5.0,Good,Medium,College,Low,No,95.0,66.0
